dir original compiled diff
script/annexB/built-ins/RegExp/prototype/compile/this-subclass-instance.js 22 30 8
script/annexB/built-ins/RegExp/prototype/compile/pattern-regexp-immutable-lastindex.js 31 30 -1
script/annexB/built-ins/RegExp/prototype/compile/pattern-to-string-err.js 36 36 0
script/annexB/built-ins/RegExp/prototype/compile/pattern-string-u.js 46 30 -16
script/annexB/built-ins/RegExp/prototype/compile/B.RegExp.prototype.compile.js 14 14 0
script/annexB/built-ins/RegExp/prototype/compile/pattern-regexp-props.js 69 69 0
script/annexB/built-ins/RegExp/RegExp-decimal-escape-class-range.js 24 23 -1
script/annexB/built-ins/RegExp/RegExp-trailing-escape-BMP.js 27 24 -3
script/annexB/built-ins/RegExp/RegExp-leading-escape-BMP.js 27 24 -3
script/annexB/built-ins/RegExp/RegExp-invalid-control-escape-character-class.js 47 83 36
script/annexB/built-ins/RegExp/RegExp-control-escape-russian-letter.js 45 98 53
script/annexB/built-ins/RegExp/legacy-accessors/rightContext/this-cross-realm-constructor.js 29 21 -8
script/annexB/built-ins/RegExp/legacy-accessors/rightContext/this-subclass-constructor.js 29 37 8
script/annexB/built-ins/RegExp/legacy-accessors/rightContext/prop-desc.js 31 32 1
script/annexB/built-ins/RegExp/legacy-accessors/rightContext/this-not-regexp-constructor.js 50 33 -17
script/annexB/built-ins/RegExp/legacy-accessors/input/this-cross-realm-constructor.js 49 33 -16
script/annexB/built-ins/RegExp/legacy-accessors/input/this-subclass-constructor.js 49 49 0
script/annexB/built-ins/RegExp/legacy-accessors/input/prop-desc.js 32 33 1
script/annexB/built-ins/RegExp/legacy-accessors/input/this-not-regexp-constructor.js 59 42 -17
script/annexB/built-ins/RegExp/legacy-accessors/lastMatch/this-cross-realm-constructor.js 29 21 -8
script/annexB/built-ins/RegExp/legacy-accessors/lastMatch/this-subclass-constructor.js 29 37 8
script/annexB/built-ins/RegExp/legacy-accessors/lastMatch/prop-desc.js 31 32 1
script/annexB/built-ins/RegExp/legacy-accessors/lastMatch/this-not-regexp-constructor.js 50 33 -17
script/annexB/built-ins/RegExp/legacy-accessors/lastParen/this-cross-realm-constructor.js 29 21 -8
script/annexB/built-ins/RegExp/legacy-accessors/lastParen/this-subclass-constructor.js 29 37 8
script/annexB/built-ins/RegExp/legacy-accessors/lastParen/prop-desc.js 31 32 1
script/annexB/built-ins/RegExp/legacy-accessors/lastParen/this-not-regexp-constructor.js 50 33 -17
script/annexB/built-ins/RegExp/legacy-accessors/leftContext/this-cross-realm-constructor.js 29 21 -8
script/annexB/built-ins/RegExp/legacy-accessors/leftContext/this-subclass-constructor.js 29 37 8
script/annexB/built-ins/RegExp/legacy-accessors/leftContext/prop-desc.js 31 32 1
script/annexB/built-ins/RegExp/legacy-accessors/leftContext/this-not-regexp-constructor.js 50 33 -17
script/annexB/built-ins/RegExp/legacy-accessors/index/this-cross-realm-constructor.js 25 24 -1
script/annexB/built-ins/RegExp/legacy-accessors/index/this-subclass-constructor.js 25 40 15
script/annexB/built-ins/RegExp/legacy-accessors/index/prop-desc.js 27 28 1
script/annexB/built-ins/RegExp/legacy-accessors/index/this-not-regexp-constructor.js 51 37 -14
script/annexB/built-ins/RegExp/incomplete_hex_unicode_escape.js 15 14 -1
script/annexB/built-ins/Array/from/iterator-method-emulates-undefined.js 24 24 0
script/annexB/built-ins/Date/prototype/setYear/this-time-nan.js 16 16 0
script/annexB/built-ins/Date/prototype/setYear/this-not-date.js 21 22 1
script/annexB/built-ins/Date/prototype/setYear/not-a-constructor.js 26 23 -3
script/annexB/built-ins/Date/prototype/setYear/length.js 26 26 0
script/annexB/built-ins/Date/prototype/setYear/year-number-absolute.js 35 35 0
script/annexB/built-ins/Date/prototype/setYear/time-clip.js 29 21 -8
script/annexB/built-ins/Date/prototype/setYear/name.js 23 23 0
script/annexB/built-ins/Date/prototype/setYear/B.2.5.js 14 14 0
script/annexB/built-ins/Date/prototype/setYear/year-number-relative.js 37 37 0
script/annexB/built-ins/Date/prototype/setYear/year-nan.js 32 24 -8
script/annexB/built-ins/Date/prototype/setYear/this-time-valid.js 17 17 0
script/annexB/built-ins/Date/prototype/setYear/year-to-number-err.js 26 26 0
script/annexB/built-ins/Date/prototype/toGMTString/not-a-constructor.js 26 23 -3
script/annexB/built-ins/Date/prototype/toGMTString/value.js 13 13 0
script/annexB/built-ins/Date/prototype/toGMTString/prop-desc.js 14 14 0
script/annexB/built-ins/Date/prototype/getYear/this-not-date.js 21 22 1
script/annexB/built-ins/Date/prototype/getYear/not-a-constructor.js 26 23 -3
script/annexB/built-ins/Date/prototype/getYear/length.js 26 26 0
script/annexB/built-ins/Date/prototype/getYear/return-value.js 37 21 -16
script/annexB/built-ins/Date/prototype/getYear/B.2.4.js 14 14 0
script/annexB/built-ins/Date/prototype/getYear/name.js 23 23 0
script/annexB/built-ins/Date/prototype/getYear/nan.js 13 13 0
script/annexB/built-ins/Function/createdynfn-html-open-comment-body.js 18 18 0
script/annexB/built-ins/Function/createdynfn-html-close-comment-params.js 19 19 0
script/annexB/built-ins/Function/createdynfn-no-line-terminator-html-close-comment-params.js 22 24 2
script/annexB/built-ins/Function/createdynfn-no-line-terminator-html-close-comment-body.js 19 19 0
script/annexB/built-ins/Function/createdynfn-html-open-comment-params.js 19 19 0
script/annexB/built-ins/Function/createdynfn-html-close-comment-body.js 18 18 0
script/annexB/built-ins/Object/is/emulates-undefined.js 19 19 0
script/annexB/built-ins/String/prototype/blink/B.2.3.4.js 20 20 0
script/annexB/built-ins/String/prototype/blink/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/blink/length.js 26 26 0
script/annexB/built-ins/String/prototype/blink/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/blink/name.js 23 23 0
script/annexB/built-ins/String/prototype/blink/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/split/custom-splitter-emulates-undefined.js 26 26 0
script/annexB/built-ins/String/prototype/fontsize/attr-tostring-err.js 20 20 0
script/annexB/built-ins/String/prototype/fontsize/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/fontsize/length.js 26 26 0
script/annexB/built-ins/String/prototype/fontsize/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/fontsize/B.2.3.8.js 25 24 -1
script/annexB/built-ins/String/prototype/fontsize/name.js 23 23 0
script/annexB/built-ins/String/prototype/fontsize/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/substr/this-non-obj-coerce.js 17 18 1
script/annexB/built-ins/String/prototype/substr/start-to-int-err.js 31 31 0
script/annexB/built-ins/String/prototype/substr/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/substr/length.js 26 26 0
script/annexB/built-ins/String/prototype/substr/surrogate-pairs.js 23 23 0
script/annexB/built-ins/String/prototype/substr/length-positive.js 32 32 0
script/annexB/built-ins/String/prototype/substr/length-negative.js 27 27 0
script/annexB/built-ins/String/prototype/substr/length-undef.js 32 24 -8
script/annexB/built-ins/String/prototype/substr/B.2.3.js 14 14 0
script/annexB/built-ins/String/prototype/substr/name.js 23 23 0
script/annexB/built-ins/String/prototype/substr/this-to-str-err.js 19 19 0
script/annexB/built-ins/String/prototype/substr/length-falsey.js 33 33 0
script/annexB/built-ins/String/prototype/substr/start-negative.js 15 15 0
script/annexB/built-ins/String/prototype/substr/length-to-int-err.js 24 24 0
script/annexB/built-ins/String/prototype/fontcolor/attr-tostring-err.js 20 20 0
script/annexB/built-ins/String/prototype/fontcolor/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/fontcolor/length.js 26 26 0
script/annexB/built-ins/String/prototype/fontcolor/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/fontcolor/name.js 23 23 0
script/annexB/built-ins/String/prototype/fontcolor/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/fontcolor/B.2.3.7.js 25 24 -1
script/annexB/built-ins/String/prototype/big/not-a-constructor.js 22 22 0
script/annexB/built-ins/String/prototype/big/length.js 26 26 0
script/annexB/built-ins/String/prototype/big/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/big/name.js 23 23 0
script/annexB/built-ins/String/prototype/big/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/big/B.2.3.3.js 20 20 0
script/annexB/built-ins/String/prototype/match/custom-matcher-emulates-undefined.js 26 26 0
script/annexB/built-ins/String/prototype/trimLeft/length.js 27 27 0
script/annexB/built-ins/String/prototype/trimLeft/reference-trimStart.js 14 14 0
script/annexB/built-ins/String/prototype/trimLeft/name.js 18 18 0
script/annexB/built-ins/String/prototype/trimLeft/prop-desc.js 19 19 0
script/annexB/built-ins/String/prototype/trimRight/reference-trimEnd.js 14 14 0
script/annexB/built-ins/String/prototype/trimRight/length.js 27 27 0
script/annexB/built-ins/String/prototype/trimRight/name.js 18 18 0
script/annexB/built-ins/String/prototype/trimRight/prop-desc.js 19 19 0
script/annexB/built-ins/String/prototype/italics/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/italics/length.js 26 26 0
script/annexB/built-ins/String/prototype/italics/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/italics/name.js 23 23 0
script/annexB/built-ins/String/prototype/italics/B.2.3.9.js 20 20 0
script/annexB/built-ins/String/prototype/italics/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/small/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/small/length.js 26 26 0
script/annexB/built-ins/String/prototype/small/B.2.3.11.js 20 20 0
script/annexB/built-ins/String/prototype/small/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/small/name.js 23 23 0
script/annexB/built-ins/String/prototype/small/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/sup/not-a-constructor.js 22 22 0
script/annexB/built-ins/String/prototype/sup/length.js 26 26 0
script/annexB/built-ins/String/prototype/sup/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/sup/B.2.3.14.js 20 20 0
script/annexB/built-ins/String/prototype/sup/name.js 23 23 0
script/annexB/built-ins/String/prototype/sup/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/search/custom-searcher-emulates-undefined.js 26 26 0
script/annexB/built-ins/String/prototype/sub/not-a-constructor.js 22 22 0
script/annexB/built-ins/String/prototype/sub/length.js 26 26 0
script/annexB/built-ins/String/prototype/sub/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/sub/B.2.3.13.js 20 20 0
script/annexB/built-ins/String/prototype/sub/name.js 23 23 0
script/annexB/built-ins/String/prototype/sub/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/fixed/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/fixed/length.js 26 26 0
script/annexB/built-ins/String/prototype/fixed/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/fixed/name.js 23 23 0
script/annexB/built-ins/String/prototype/fixed/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/fixed/B.2.3.6.js 20 20 0
script/annexB/built-ins/String/prototype/link/attr-tostring-err.js 20 20 0
script/annexB/built-ins/String/prototype/link/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/link/length.js 26 26 0
script/annexB/built-ins/String/prototype/link/B.2.3.10.js 23 23 0
script/annexB/built-ins/String/prototype/link/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/link/name.js 23 23 0
script/annexB/built-ins/String/prototype/link/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/bold/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/bold/length.js 26 26 0
script/annexB/built-ins/String/prototype/bold/B.2.3.5.js 20 20 0
script/annexB/built-ins/String/prototype/bold/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/bold/name.js 23 23 0
script/annexB/built-ins/String/prototype/bold/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/anchor/attr-tostring-err.js 20 20 0
script/annexB/built-ins/String/prototype/anchor/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/anchor/length.js 26 26 0
script/annexB/built-ins/String/prototype/anchor/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/anchor/name.js 23 23 0
script/annexB/built-ins/String/prototype/anchor/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/anchor/B.2.3.2.js 23 23 0
script/annexB/built-ins/String/prototype/replace/custom-replacer-emulates-undefined.js 26 26 0
script/annexB/built-ins/String/prototype/strike/not-a-constructor.js 26 22 -4
script/annexB/built-ins/String/prototype/strike/length.js 26 26 0
script/annexB/built-ins/String/prototype/strike/this-val-tostring-err.js 19 19 0
script/annexB/built-ins/String/prototype/strike/name.js 23 23 0
script/annexB/built-ins/String/prototype/strike/B.2.3.12.js 20 20 0
script/annexB/built-ins/String/prototype/strike/prop-desc.js 17 17 0
script/annexB/built-ins/String/prototype/matchAll/custom-matcher-emulates-undefined.js 27 27 0
script/annexB/built-ins/String/prototype/replaceAll/custom-replacer-emulates-undefined.js 27 27 0
script/annexB/built-ins/unescape/four-ignore-non-hex.js 40 40 0
script/annexB/built-ins/unescape/not-a-constructor.js 22 22 0
script/annexB/built-ins/unescape/length.js 26 26 0
script/annexB/built-ins/unescape/to-string-observe.js 42 42 0
script/annexB/built-ins/unescape/four.js 64 64 0
script/annexB/built-ins/unescape/two.js 60 60 0
script/annexB/built-ins/unescape/to-primitive-err.js 19 25 6
script/annexB/built-ins/unescape/argument_bigint.js 13 13 0
script/annexB/built-ins/unescape/two-ignore-non-hex.js 32 32 0
script/annexB/built-ins/unescape/to-string-err.js 17 17 0
script/annexB/built-ins/unescape/empty-string.js 16 16 0
script/annexB/built-ins/unescape/name.js 23 23 0
script/annexB/built-ins/unescape/argument_types.js 21 21 0
script/annexB/built-ins/unescape/to-string-err-symbol.js 14 14 0
script/annexB/built-ins/unescape/two-ignore-end-str.js 46 46 0
script/annexB/built-ins/unescape/four-ignore-end-str.js 90 90 0
script/annexB/built-ins/unescape/prop-desc.js 16 17 1
script/annexB/built-ins/unescape/to-primitive-observe.js 17 23 6
script/annexB/built-ins/unescape/four-ignore-bad-u.js 27 27 0
script/annexB/language/comments/single-line-html-open.js 37 35 -2
script/annexB/language/comments/single-line-html-close.js 41 40 -1
script/annexB/language/comments/single-line-html-close-unicode-separators.js 44 42 -2
script/annexB/language/comments/single-line-html-close-asi.js 34 33 -1
script/annexB/language/comments/multi-line-html-close.js 73 95 22
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-existing-non-enumerable-global-init.js 43 42 -1
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-skip-early-err-for.js 45 43 -2
script/annexB/language/eval-code/direct/global-if-stmt-else-decl-eval-global-existing-fn-no-init.js 24 22 -2
script/annexB/language/eval-code/direct/global-if-decl-no-else-eval-global-skip-early-err-for-of.js 40 31 -9
script/annexB/language/eval-code/direct/global-if-decl-no-else-eval-global-no-skip-try.js 44 42 -2
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-existing-var-update.js 35 31 -4
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-skip-early-err-for-in.js 44 42 -2
script/annexB/language/eval-code/direct/global-switch-dflt-eval-global-init.js 29 24 -5
script/annexB/language/eval-code/direct/func-switch-case-eval-func-existing-block-fn-no-init.js 28 23 -5
script/annexB/language/eval-code/direct/func-if-decl-else-decl-a-eval-func-skip-early-err-for.js 45 43 -2
script/annexB/language/eval-code/direct/global-switch-dflt-eval-global-existing-block-fn-update.js 35 31 -4
script/annexB/language/eval-code/direct/func-block-decl-eval-func-block-scoping.js 41 31 -10
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-existing-fn-update.js 39 38 -1
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-skip-early-err.js 25 23 -2
script/annexB/language/eval-code/direct/global-if-decl-else-decl-a-eval-global-existing-global-update.js 39 40 1
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-no-skip-param.js 31 28 -3
script/annexB/language/eval-code/direct/global-if-stmt-else-decl-eval-global-existing-global-update.js 39 40 1
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-skip-early-err-switch.js 46 44 -2
script/annexB/language/eval-code/direct/func-if-decl-else-decl-a-eval-func-block-scoping.js 47 37 -10
script/annexB/language/eval-code/direct/global-if-decl-else-decl-a-eval-global-skip-early-err-for-of.js 40 31 -9
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-skip-early-err-for.js 41 32 -9
script/annexB/language/eval-code/direct/global-if-decl-else-decl-a-eval-global-no-skip-try.js 44 42 -2
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-no-skip-param.js 29 23 -6
script/annexB/language/eval-code/direct/func-switch-case-eval-func-existing-fn-update.js 37 33 -4
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-update.js 35 34 -1
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-existing-var-no-init.js 27 25 -2
script/annexB/language/eval-code/direct/func-if-decl-else-decl-b-eval-func-skip-early-err-for-of.js 44 42 -2
script/annexB/language/eval-code/direct/func-if-decl-else-decl-b-eval-func-init.js 39 37 -2
script/annexB/language/eval-code/direct/global-switch-dflt-eval-global-existing-fn-update.js 33 28 -5
script/annexB/language/eval-code/direct/func-switch-case-eval-func-existing-fn-no-init.js 34 29 -5
script/annexB/language/eval-code/direct/global-if-decl-no-else-eval-global-existing-fn-no-init.js 24 22 -2
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-existing-global-update.js 39 40 1
script/annexB/language/eval-code/direct/global-if-decl-else-stmt-eval-global-existing-global-update.js 39 40 1
script/annexB/language/eval-code/direct/global-block-decl-eval-global-no-skip-try.js 38 36 -2
script/annexB/language/eval-code/direct/func-if-decl-else-decl-b-eval-func-no-skip-param.js 31 28 -3
script/annexB/language/eval-code/direct/global-if-decl-no-else-eval-global-existing-global-update.js 39 40 1
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-skip-early-err-try.js 53 51 -2
script/annexB/language/eval-code/direct/global-if-stmt-else-decl-eval-global-skip-early-err-for-of.js 40 31 -9
script/annexB/language/eval-code/direct/global-if-stmt-else-decl-eval-global-existing-non-enumerable-global-init.js 43 42 -1
script/annexB/language/eval-code/direct/global-if-stmt-else-decl-eval-global-existing-block-fn-update.js 37 36 -1
script/annexB/language/eval-code/direct/global-switch-dflt-eval-global-skip-early-err-switch.js 40 28 -12
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-update.js 33 29 -4
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-existing-var-update.js 37 36 -1
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-skip-early-err-for-in.js 42 37 -5
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-existing-block-fn-update.js 39 38 -1
script/annexB/language/eval-code/direct/global-switch-case-eval-global-existing-block-fn-update.js 35 31 -4
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-no-skip-try.js 46 44 -2
script/annexB/language/eval-code/direct/global-if-decl-else-stmt-eval-global-existing-block-fn-update.js 37 36 -1
script/annexB/language/eval-code/direct/global-if-decl-else-decl-a-eval-global-existing-non-enumerable-global-init.js 43 42 -1
script/annexB/language/eval-code/direct/func-switch-case-eval-func-skip-early-err-switch.js 44 39 -5
script/annexB/language/eval-code/direct/global-if-decl-no-else-eval-global-existing-fn-update.js 35 33 -2
script/annexB/language/eval-code/direct/global-switch-case-eval-global-existing-fn-no-init.js 22 17 -5
script/annexB/language/eval-code/direct/global-if-decl-else-stmt-eval-global-skip-early-err-for-in.js 40 31 -9
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-skip-early-err-try.js 51 46 -5
script/annexB/language/eval-code/direct/global-if-decl-else-stmt-eval-global-skip-early-err-for.js 41 32 -9
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-skip-early-err-switch.js 46 44 -2
script/annexB/language/eval-code/direct/global-switch-case-eval-global-skip-early-err.js 23 18 -5
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-update.js 35 34 -1
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-init.js 37 32 -5
script/annexB/language/eval-code/direct/global-block-decl-eval-global-update.js 25 23 -2
script/annexB/language/eval-code/direct/global-switch-case-eval-global-existing-fn-update.js 33 28 -5
script/annexB/language/eval-code/direct/global-block-decl-eval-global-skip-early-err-for-in.js 34 25 -9
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-existing-fn-no-init.js 24 22 -2
script/annexB/language/eval-code/direct/func-block-decl-eval-func-skip-early-err-switch.js 40 38 -2
script/annexB/language/eval-code/direct/global-if-decl-else-decl-a-eval-global-existing-block-fn-no-init.js 26 24 -2
script/annexB/language/eval-code/direct/global-if-decl-no-else-eval-global-existing-block-fn-no-init.js 26 24 -2
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-existing-fn-no-init.js 36 34 -2
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-skip-early-err.js 30 28 -2
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-init.js 39 37 -2
script/annexB/language/eval-code/direct/global-if-decl-else-decl-a-eval-global-update.js 31 29 -2
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-existing-fn-no-init.js 36 34 -2
script/annexB/language/eval-code/direct/global-switch-dflt-eval-global-skip-early-err-for-of.js 38 26 -12
script/annexB/language/eval-code/direct/global-if-stmt-else-decl-eval-global-skip-early-err-switch.js 42 33 -9
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-skip-early-err-try.js 53 51 -2
script/annexB/language/eval-code/direct/global-if-decl-else-decl-a-eval-global-init.js 31 29 -2
script/annexB/language/eval-code/direct/global-switch-case-eval-global-existing-var-update.js 31 27 -4
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-skip-early-err.js 30 28 -2
script/annexB/language/eval-code/direct/global-switch-case-eval-global-existing-block-fn-no-init.js 24 19 -5
script/annexB/language/eval-code/direct/func-switch-case-eval-func-skip-early-err-for-of.js 42 37 -5
script/annexB/language/eval-code/direct/global-switch-dflt-eval-global-skip-early-err-try.js 49 44 -5
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-existing-block-fn-update.js 39 38 -1
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-skip-early-err-for-of.js 44 42 -2
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-existing-block-fn-no-init.js 28 23 -5
script/annexB/language/eval-code/direct/func-block-decl-eval-func-existing-block-fn-update.js 33 32 -1
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-skip-early-err.js 28 23 -5
script/annexB/language/eval-code/direct/func-switch-dflt-eval-func-existing-block-fn-update.js 37 33 -4
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-init.js 31 29 -2
script/annexB/language/eval-code/direct/func-block-decl-eval-func-init.js 33 31 -2
script/annexB/language/eval-code/direct/func-block-decl-eval-func-skip-early-err-for-of.js 38 36 -2
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-block-scoping.js 47 37 -10
script/annexB/language/eval-code/direct/func-switch-case-eval-func-existing-block-fn-update.js 37 33 -4
script/annexB/language/eval-code/direct/global-block-decl-eval-global-skip-early-err-for.js 35 26 -9
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-init.js 39 37 -2
script/annexB/language/eval-code/direct/func-if-decl-else-stmt-eval-func-existing-block-fn-no-init.js 30 28 -2
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-existing-block-fn-no-init.js 30 28 -2
script/annexB/language/eval-code/direct/func-if-decl-no-else-eval-func-existing-var-update.js 37 36 -1
script/annexB/language/eval-code/direct/func-switch-case-eval-func-skip-early-err-try.js 51 46 -5
script/annexB/language/eval-code/direct/func-if-decl-else-decl-b-eval-func-skip-early-err.js 30 28 -2
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-existing-var-update.js 33 32 -1
script/annexB/language/eval-code/direct/global-if-decl-else-stmt-eval-global-block-scoping.js 45 35 -10
script/annexB/language/eval-code/direct/global-if-decl-else-decl-b-eval-global-existing-block-fn-no-init.js 26 24 -2
script/annexB/language/eval-code/direct/switch-case-decl-nostrict.js 26 26 0
script/annexB/language/eval-code/direct/func-if-stmt-else-decl-eval-func-existing-block-fn-update.js 39 38 -1
script/annexB/language/eval-code/direct/func-if-decl-else-decl-a-eval-func-no-skip-try.js 46 44 -2
script/annexB/language/eval-code/direct/func-switch-case-eval-func-init.js 37 32 -5
